Date,Open,High,Low,Close,Adj Close,Volume
2022-08-19,2245.24,2245.24,2245.24,2245.24,2245.24,10000000000
2022-08-26,2221.63,2221.63,2221.63,2221.63,2221.63,10000000000
2022-09-02,2181.59,2181.59,2181.59,2181.59,2181.59,10000000000
2022-09-09,2210.12,2210.12,2210.12,2210.12,2210.12,10000000000
2022-09-16,2165.38,2165.38,2165.38,2165.38,2165.38,10000000000
2022-09-23,2127.51,2127.51,2127.51,2127.51,2127.51,10000000000
2022-09-30,2098.5,2098.5,2098.5,2098.5,2098.5,10000000000
2022-10-07,2128.3,2128.3,2128.3,2128.3,2128.3,10000000000
2022-10-14,2104.66,2104.66,2104.66,2104.66,2104.66,10000000000
2022-10-21,2110.6,2110.6,2110.6,2110.6,2110.6,10000000000
2022-10-28,2162.16,2162.16,2162.16,2162.16,2162.16,10000000000
2022-11-04,2135.57,2135.57,2135.57,2135.57,2135.57,10000000000
2022-11-11,2161.2,2161.2,2161.2,2161.2,2161.2,10000000000
2022-11-18,2176.38,2176.38,2176.38,2176.38,2176.38,10000000000
2022-11-25,2199.33,2199.33,2199.33,2199.33,2199.33,10000000000
2022-12-02,2220.0,2220.0,2220.0,2220.0,2220.0,10000000000
2022-12-09,2215.7,2215.7,2215.7,2215.7,2215.7,10000000000
2022-12-16,2216.33,2216.33,2216.33,2216.33,2216.33,10000000000
2022-12-23,2206.64,2206.64,2206.64,2206.64,2206.64,10000000000
2022-12-30,2186.03,2186.03,2186.03,2186.03,2186.03,10000000000
